5;0,6;2,5;1,1;4,7;0,7;0,3;13
8;0,8;3,2;1,5;7,4;0,9;0,5;15
10;1;3,3;1,8;9,6;1,1;0,6;17
12;1;3,3;1,9;11,5;1,1;0,8;19
14;1;3,4;2,2;13,4;1,1;0,9;22
15;1;3,5;2,2;14,3;1,1;1,2;23
16;1;3,6;2,2;15,2;1,1;1,5;24
18;1,2;3,8;2,7;17;1,3;1,5;26
20;1,2;3,9;2,7;19;1,3;1,5;29
22;1,2;4,1;2,7;21;1,3;1,7;31
24;1,2;4,2;3;22,9;1,3;1,7;33
25;1,2;4,3;3;23,9;1,3;2,1;34
28;1,2;4,6;3;26,6;1,7;2,1;38
30;1,6;4,8;3,5;28,6;1,7;3,8;40
32;1,6;5;3,5;30,3;1,7;3,8;26
35;1,6;5,4;4;33;1,7;3;28
38;1,6;5,6;4,5;36;1,7;3;33
40;1,6;5,8;4,5;37,5;1,7;3,8;34
42;1,6;6,2;4,5;39,5;1,8;3,8;35
45;1,6;6,3;4,8;42,5;1,7;3,8;57
48;1,6;6,5;4,8;45,5;1,7;3,8;39
50;2;6,7;5;47;2,15;4,5;41
52;2;6,8;5;49;2,15;4,5;42
55;2;7;5;52;2,15;4,5;44
58;2;7,1;5,5;55;2,15;4,5;48
60;2;7,2;5,5;57;2,15;4,5;49
65;2,5;7,4;6,4;62;2,65;4,5;55
70;2,5;7,8;6,4;67;2,65;4,5;60
75;2,5;7,9;7;72;2,65;4,5;62
80;2,5;8,2;7,5;70,5;2,65;5,3;62
85;3;8,4;8;81,5;3,15;5,3;67
90;3;8,7;8;86,5;3,15;5,3;72
